date,pred,return,remain,cumprod,actual_binary,pred_binary
2019-09-14 00:00:00+00:00,0.013710917,0.0182687462376045,1.0182687462376045,1.0182687462376045,1,1
2019-09-15 00:00:00+00:00,0.017773056,0.0227239325712577,1.0227239325712576,1.0414078165665268,1,1
2019-09-16 00:00:00+00:00,-0.009064226,-0.0060650988487556,0.9939349011512444,1.035091575217184,-1,-1
2019-09-17 00:00:00+00:00,0.02641659,0.0310174654180071,1.031017465418007,1.0671974923559535,1,1
2019-09-18 00:00:00+00:00,0.033632245,0.0382046765429784,1.0382046765429784,1.1079694273588905,1,1
2019-09-19 00:00:00+00:00,-0.015028357,-0.0124316239256331,0.9875683760743669,1.0941955681168656,-1,-1
2019-09-20 00:00:00+00:00,0.015122972,0.0195554389551594,1.0195554389551593,1.115593042754181,1,1
2019-09-21 00:00:00+00:00,-0.008661746,-0.0055226286032531,0.9944773713967469,1.1094320367066766,-1,-1
2019-09-22 00:00:00+00:00,-0.008283402,-0.0054029514290382,0.9945970485709618,1.1034378292985314,-1,-1
2019-09-23 00:00:00+00:00,-0.022121701,-0.0201729979507131,0.9798270020492869,1.0811781802293527,-1,-1
2019-09-24 00:00:00+00:00,-0.05986466,-0.0619834697344435,0.9380165302655565,1.014163005217566,-1,-1
2019-09-25 00:00:00+00:00,-0.107153326,-0.1092335662329692,0.8907664337670308,0.903382363416106,-1,-1
2019-09-26 00:00:00+00:00,-0.00206175,-0.0001482891985285,0.9998517108014715,0.9032484015694703,-1,-1
2019-09-27 00:00:00+00:00,-0.0093092155,-0.0084591827342482,0.9915408172657518,0.8956076582861766,-1,-1
2019-09-28 00:00:00+00:00,0.037115127,0.04081667021054,1.04081667021054,0.9321633807124774,1,1
2019-09-29 00:00:00+00:00,-0.011650839,-0.0116040693443232,0.9883959306556768,0.921346492202451,-1,-1
2019-09-30 00:00:00+00:00,0.016007094,0.0183760776071512,1.018376077607151,0.9382772268462397,1,1
2019-10-01 00:00:00+00:00,0.012534408,0.0140005421453198,1.0140005421453198,0.9514136167046943,1,1
2019-10-02 00:00:00+00:00,-0.025716743,-0.0278556866079563,0.9721443133920437,0.924911337163226,-1,-1
2019-10-03 00:00:00+00:00,0.0178213,0.0196839479218106,1.0196839479218105,0.9431172437562391,1,1
2019-10-04 00:00:00+00:00,-1.6038452e-05,0.0002256237832416,1.0002256237832416,0.9433300334368158,1,-1
2019-10-05 00:00:00+00:00,0.008132822,0.0090834572814029,1.009083457281403,0.9518987314978035,1,1
2019-10-06 00:00:00+00:00,-0.004476237,-0.0047089094521045,0.9952910905478956,0.9474163265636072,-1,-1
