date,port_l_30_300_7d_test,port_l_30_300_7d_pred,port_l_30_300_30d_test,port_l_30_300_30d_pred,port_l_30_300_180d_test,port_l_30_300_180d_pred,port_l_30_300_365d_test,port_l_30_300_365d_pred
2019-09-14 00:00:00+00:00,0.0086638973851249,0.0086638973851249,0.0086638973851249,0.0086638973851249,0.0086638973851249,0.0086638973851249,0.0086638973851249,0.0086638973851249
2019-09-15 00:00:00+00:00,0.0141185140636569,0.0141185140636569,0.0141185140636569,0.0141185140636569,0.0141185140636569,0.0141185140636569,0.0141185140636569,0.0141185140636569
2019-09-16 00:00:00+00:00,0.015323905833174799,0.012913122294139,0.015323905833174799,0.015323905833174799,0.015323905833174799,0.015323905833174799,0.015323905833174799,0.015323905833174799
2019-09-17 00:00:00+00:00,0.023908518241542498,0.0214977347025067,0.023908518241542498,0.023908518241542498,0.023908518241542498,0.023908518241542498,0.023908518241542498,0.023908518241542498
2019-09-18 00:00:00+00:00,0.0404544613854868,0.038043677846451004,0.0404544613854868,0.0404544613854868,0.0404544613854868,0.0404544613854868,0.0404544613854868,0.0404544613854868
2019-09-19 00:00:00+00:00,0.0184706547695912,0.060027484462346604,0.0184706547695912,0.0624382680013824,0.0184706547695912,0.0624382680013824,0.0184706547695912,0.0624382680013824
2019-09-20 00:00:00+00:00,0.0192008627183665,0.059297276513571306,0.0192008627183665,0.0631684759501577,0.0192008627183665,0.0631684759501577,0.0192008627183665,0.0631684759501577
2019-09-21 00:00:00+00:00,0.006962633712154201,0.0715355055197836,0.006962633712154201,0.07540670495637,0.006962633712154201,0.07540670495637,0.006962633712154201,0.07540670495637
2019-09-22 00:00:00+00:00,-0.015282424249155999,0.0937805634810938,-0.015282424249155999,0.0976517629176802,-0.015282424249155999,0.0976517629176802,-0.015282424249155999,0.0976517629176802
2019-09-23 00:00:00+00:00,-0.0261836416547504,0.1046817808866882,-0.0261836416547504,0.1085529803232746,-0.0261836416547504,0.1085529803232746,-0.0261836416547504,0.1085529803232746
2019-09-24 00:00:00+00:00,-0.0899021104426729,0.1684002496746107,-0.0899021104426729,0.1722714491111971,-0.0899021104426729,0.1722714491111971,-0.0899021104426729,0.1722714491111971
2019-09-25 00:00:00+00:00,-0.2248352845477111,0.3033334237796489,-0.2248352845477111,0.3072046232162353,-0.2248352845477111,0.3072046232162353,-0.2248352845477111,0.3072046232162353
2019-09-26 00:00:00+00:00,-0.2256351811245217,0.3041333203564595,-0.2256351811245217,0.3064047266394247,-0.2256351811245217,0.3064047266394247,-0.2256351811245217,0.3064047266394247
2019-09-27 00:00:00+00:00,-0.2438695601532489,0.3223676993851867,-0.2438695601532489,0.3246391056681519,-0.2438695601532489,0.3246391056681519,-0.2438695601532489,0.3246391056681519
2019-09-28 00:00:00+00:00,-0.2044802388016759,0.36175702073675975,-0.2044802388016759,0.36402842701972493,-0.2044802388016759,0.36402842701972493,-0.2044802388016759,0.36402842701972493
2019-09-29 00:00:00+00:00,-0.2077874951345119,0.36506427706959577,-0.2077874951345119,0.3607211706868889,-0.2077874951345119,0.3607211706868889,-0.2077874951345119,0.36733568335256095
2019-09-30 00:00:00+00:00,-0.1832811018565012,0.38957067034760645,-0.1832811018565012,0.3852275639648996,-0.1832811018565012,0.3852275639648996,-0.1832811018565012,0.39184207663057163
2019-10-01 00:00:00+00:00,-0.17625505525094531,0.39659671695316234,-0.17625505525094531,0.3922536105704555,-0.17625505525094531,0.3922536105704555,-0.17625505525094531,0.3988681232361275
2019-10-02 00:00:00+00:00,-0.3447020426066436,0.5650437043088606,-0.3447020426066436,0.5607005979261538,-0.3447020426066436,0.5607005979261538,-0.3447020426066436,0.5673151105918258
2019-10-03 00:00:00+00:00,-0.3508332802389582,0.5711749419411752,-0.3508332802389582,0.5668318355584684,-0.3508332802389582,0.5545693602938392,-0.3508332802389582,0.5734463482241404
