date,daily_return,return_1w,return_1m,return_1q,return_1y
2017-05-29 00:00:00+00:00,0.026365098191159175,0.03724720204376197,0.6292215876676106,0.8571919566069266,3.2237666215048604
2017-05-30 00:00:00+00:00,0.017544545685054924,0.026851398194666753,0.6550026851406501,0.868831854244658,3.2325260721864986
2017-05-31 00:00:00+00:00,-0.010502177775512656,-0.05522098499102335,0.5702077968722692,0.8000431105402095,3.1718742666195414
2017-06-01 00:00:00+00:00,0.06513413934741097,-0.06819068088367941,0.6189311552606345,0.8660187235536296,3.460404300740098
2017-06-02 00:00:00+00:00,0.014950554293272411,0.01478556481113169,0.6159839953205726,0.8939167377923809,3.5032225873839007
2017-06-03 00:00:00+00:00,0.03849042858139806,0.22157447422048482,0.6084418872827462,0.9812641471920276,3.521302013581039
2017-06-04 00:00:00+00:00,0.0019392477318238566,0.1624204072537525,0.5991440178763376,0.9652531532072313,3.374292066752729
2017-06-05 00:00:00+00:00,0.03339807816825746,0.1703856814662077,0.6661123327944178,1.0660555920071926,3.508291872609493
2017-06-06 00:00:00+00:00,0.08914414702427198,0.2527399612483192,0.8074110342075653,1.3585292588078324,3.858070503262611
2017-06-07 00:00:00+00:00,-0.004166199762112521,0.26076153812570246,0.7361122758903718,1.3883272942638833,3.838073726019509
2017-06-08 00:00:00+00:00,-0.0220363160044722,0.15758095897734026,0.5938833125340715,1.2851247081656845,3.731460404540009
2017-06-09 00:00:00+00:00,0.025918460648783226,0.17009017876472865,0.6156752815617097,1.4117131019139006,3.854092574846355
2017-06-10 00:00:00+00:00,0.010451264203854338,0.13849783091444468,0.5567174324272206,1.3810753896557832,3.948772738096376
2017-06-11 00:00:00+00:00,0.01687595218572202,0.15547032267007754,0.629534478748188,1.3534398038424418,3.9642939130554833
2017-06-12 00:00:00+00:00,-0.0388089112795269,0.07473373610301626,0.622444065872062,1.2449808658848673,3.3597192010822834
2017-06-13 00:00:00+00:00,-0.03037344029843314,-0.04320252008887149,0.5078260798950678,1.1632384058647678,2.927216352248709
2017-06-14 00:00:00+00:00,-0.019828631239767858,-0.05825098998768541,0.517410054824897,1.1693292763966672,2.8586106763933317
2017-06-15 00:00:00+00:00,-0.1086625138283287,-0.14166935958240012,0.36696628327115666,1.0871373748040294,2.4523985679231237
2017-06-16 00:00:00+00:00,0.04258618719330354,-0.127724371800217,0.36371058174488624,1.3727217325534702,2.3298927799901996
2017-06-17 00:00:00+00:00,0.044348495322996895,-0.09846246712836715,0.3944234346772826,1.532347722326202,2.433411267434076
2017-06-18 00:00:00+00:00,0.001571587815261788,-0.11203094504060052,0.3302758567348514,1.4744012011733565,2.425256516738055
2017-06-19 00:00:00+00:00,0.00012168967702419486,-0.07606601637443045,0.2925262442162939,1.3590506166976195,2.4100415735823786
2017-06-20 00:00:00+00:00,0.04070505919587197,-0.008337012325578819,0.31081438995135713,1.5217949416519638,2.584578628182863
2017-06-21 00:00:00+00:00,0.014474334014265233,0.02636812403535438,0.27268763536946095,1.5995876576892796,2.991877029590267
2017-06-22 00:00:00+00:00,-0.009138103473173897,0.14096970193002756,0.22689345277532724,1.6966356051473648,3.1299139203940474
2017-06-23 00:00:00+00:00,0.016738672366124474,0.11268308960938067,0.15990918716690894,1.9203301201888348,3.6215433116913935
2017-06-24 00:00:00+00:00,-0.022943812398972585,0.04098766112133667,0.0493878562767307,1.7385610118063268,3.0776908358623967
2017-06-25 00:00:00+00:00,-0.03841371965183227,-0.0005712371199595445,0.08274612625667199,1.5566724774492018,2.8266105531011982
2017-06-26 00:00:00+00:00,-0.03996943624004867,-0.04063458620171734,0.20491072045368663,1.3548378130917227,2.844662065734092
2017-06-27 00:00:00+00:00,-0.019646543077461387,-0.09626921522243459,0.12186200728190388,1.3310228263252015,2.783146208220936
2017-06-28 00:00:00+00:00,0.052058430503251873,-0.06278792951977419,0.14994594487117374,1.4486016449349357,2.929312953883874
2017-06-29 00:00:00+00:00,0.009086454259075838,-0.04555013326814927,0.14038729903311253,1.4221352392810922,2.9650164763089335
2017-06-30 00:00:00+00:00,-0.010515180163380489,-0.07113432379980289,0.14037231389858418,1.3367782597461013,2.894885695003264
2017-07-01 00:00:00+00:00,-0.034902393033255485,-0.08250308153166985,0.03326947333502339,1.2419093116637359,2.6306122316643794
2017-07-02 00:00:00+00:00,0.003318480124404166,-0.04268433049693365,0.021427450982881124,1.161232218648895,2.5887985643099944
2017-07-03 00:00:00+00:00,0.033215944402217534,0.03029408739113082,0.01623962952385294,1.2165741707658881,2.7664274077762547
2017-07-04 00:00:00+00:00,0.02802731935283953,0.08039652568846245,0.04270004845558928,1.3087850686190619,2.9051829303585417
2017-07-05 00:00:00+00:00,-0.00827415920031871,0.01843882599078972,0.0006527049957609776,1.214552882346338,2.865545930964872
2017-07-06 00:00:00+00:00,0.006111388851055333,0.01543618720934381,-0.07563375744935785,1.1838860115855603,2.880693758832153
2017-07-07 00:00:00+00:00,-0.020256011451916467,0.005439881671767566,-0.09056885884027133,1.1444423463422608,2.9829921895717137
2017-07-08 00:00:00+00:00,-0.012942940173794715,0.028317266845258926,-0.08211271747835436,1.1047032274711883,2.90142274863261
2017-07-09 00:00:00+00:00,0.009756976726942534,0.03491618569313437,-0.09657236620049026,1.0969546039144458,2.915931656725645
2017-07-10 00:00:00+00:00,-0.036095076280949545,-0.03450889194000484,-0.13818867342471364,1.0120869176269864,2.8016521638381042
2017-07-11 00:00:00+00:00,-0.043473023848749515,-0.10165977819060534,-0.1893349621946826,0.9166651115640296,2.624530735958959
