date,bitcoin
2016-09-28 00:00:00+00:00,604.5672912854515
2016-09-29 00:00:00+00:00,604.7798653986829
2016-09-30 00:00:00+00:00,605.1674279749031
2016-10-01 00:00:00+00:00,612.4516126109373
2016-10-02 00:00:00+00:00,611.4345612389063
2016-10-03 00:00:00+00:00,611.3976727938898
2016-10-04 00:00:00+00:00,609.81258047564
2016-10-05 00:00:00+00:00,610.8813540388783
2016-10-06 00:00:00+00:00,611.4682852880295
2016-10-07 00:00:00+00:00,614.6506582305744
2016-10-08 00:00:00+00:00,618.0963847387703
2016-10-09 00:00:00+00:00,616.9089919520392
2016-10-10 00:00:00+00:00,617.0332236113172
2016-10-11 00:00:00+00:00,632.4799222685792
2016-10-12 00:00:00+00:00,638.1164348244788
2016-10-13 00:00:00+00:00,636.1954223443416
2016-10-17 00:00:00+00:00,639.0045526165944
2016-10-18 00:00:00+00:00,636.8231160863497
2016-10-19 00:00:00+00:00,632.3593236319213
2016-10-20 00:00:00+00:00,628.9691441149345
2016-10-21 00:00:00+00:00,630.9117908576364
2016-10-22 00:00:00+00:00,641.8470815474914
2016-10-23 00:00:00+00:00,653.8777342257997
2016-10-24 00:00:00+00:00,650.7550277336471
2016-10-25 00:00:00+00:00,655.0227933448464
2016-10-26 00:00:00+00:00,665.3205655108156
2016-10-27 00:00:00+00:00,682.5819232166093
2016-10-28 00:00:00+00:00,685.870695563358
2016-10-29 00:00:00+00:00,706.1455318027593
2016-10-30 00:00:00+00:00,704.5772835133718
2016-10-31 00:00:00+00:00,698.1368115897153
2016-11-01 00:00:00+00:00,720.9233542233054
2016-11-02 00:00:00+00:00,725.1731305871824
2016-11-03 00:00:00+00:00,724.1470689072614
2016-11-04 00:00:00+00:00,699.3002622772535
2016-11-05 00:00:00+00:00,703.085029680914
2016-11-06 00:00:00+00:00,709.6431525838763
2016-11-07 00:00:00+00:00,704.5319228399889
2016-11-08 00:00:00+00:00,706.004262662118
2016-11-09 00:00:00+00:00,725.0653330896048
2016-11-10 00:00:00+00:00,713.7573224187877
2016-11-11 00:00:00+00:00,714.3270787902842
2016-11-12 00:00:00+00:00,708.2898211583032
2016-11-13 00:00:00+00:00,696.0594820200266
2016-11-14 00:00:00+00:00,701.9462262569525
2016-11-27 00:00:00+00:00,731.8263285405737
2016-11-28 00:00:00+00:00,731.3205088805983
2016-11-29 00:00:00+00:00,731.8877301545765
2016-11-30 00:00:00+00:00,737.4384057568526
2016-12-06 00:00:00+00:00,755.7908719738044
2016-12-07 00:00:00+00:00,760.540479009564
2016-12-08 00:00:00+00:00,766.5891153578879
2016-12-09 00:00:00+00:00,768.4779324874654
2016-12-10 00:00:00+00:00,772.1920862975069
2016-12-11 00:00:00+00:00,767.2139766423156
2016-12-12 00:00:00+00:00,774.1831417730258
2016-12-13 00:00:00+00:00,777.7503482416676
2016-12-14 00:00:00+00:00,776.3822276737632
2016-12-15 00:00:00+00:00,776.7544329730312
2016-12-16 00:00:00+00:00,778.726691600392
2016-12-17 00:00:00+00:00,786.6860842407026
2016-12-18 00:00:00+00:00,787.6106678114857
2016-12-19 00:00:00+00:00,789.6894427994223
2016-12-20 00:00:00+00:00,790.0087530174717
2016-12-21 00:00:00+00:00,811.9064739529573
2016-12-22 00:00:00+00:00,853.8693119383332
2016-12-23 00:00:00+00:00,895.9254246955151
2016-12-24 00:00:00+00:00,897.8995148026276
2016-12-25 00:00:00+00:00,872.1482398280104
2016-12-26 00:00:00+00:00,897.5019057983569
2016-12-27 00:00:00+00:00,914.102433548955
2016-12-28 00:00:00+00:00,951.6939971789517
2016-12-29 00:00:00+00:00,967.982384754956
2016-12-30 00:00:00+00:00,951.748777309164
2016-12-31 00:00:00+00:00,952.7482537836877
2017-01-01 00:00:00+00:00,974.2800513976152
2017-01-02 00:00:00+00:00,1011.1228986770356
2017-01-03 00:00:00+00:00,1017.213358639858
2017-01-04 00:00:00+00:00,1076.4506845850697
2017-01-05 00:00:00+00:00,1048.4278934642316
2017-01-06 00:00:00+00:00,930.0936498661276
2017-01-07 00:00:00+00:00,868.2682157991159
2017-01-08 00:00:00+00:00,912.451423379023
2017-01-10 00:00:00+00:00,899.8388732322544
2017-01-11 00:00:00+00:00,846.3265359051812
2017-01-12 00:00:00+00:00,784.2369849552844
2017-01-13 00:00:00+00:00,806.6320551612157
2017-01-14 00:00:00+00:00,825.5048352839515
2017-01-15 00:00:00+00:00,817.0032430284692
2017-01-16 00:00:00+00:00,826.5656389214489
2017-01-17 00:00:00+00:00,874.7453475300346
2017-01-18 00:00:00+00:00,883.7257482229819
2017-01-19 00:00:00+00:00,892.2061908333624
2017-01-20 00:00:00+00:00,893.5339270744519
2017-01-21 00:00:00+00:00,916.6608514073646
2017-01-22 00:00:00+00:00,922.2238643905198
2017-01-23 00:00:00+00:00,918.5351257601811
2017-01-24 00:00:00+00:00,906.32225849046
2017-01-25 00:00:00+00:00,893.712865908748
2017-01-26 00:00:00+00:00,904.5935604807158
2017-01-28 00:00:00+00:00,918.9326884611552
2017-01-29 00:00:00+00:00,918.1889270460318
2017-01-31 00:00:00+00:00,939.2458352320874
2017-02-04 00:00:00+00:00,1013.078201053397
2017-02-06 00:00:00+00:00,1017.2886935442036
2017-02-07 00:00:00+00:00,1038.5431147940517
2017-02-08 00:00:00+00:00,1050.2013804899696
2017-02-09 00:00:00+00:00,1020.35851532641
2017-02-10 00:00:00+00:00,975.3799947453421
2017-02-11 00:00:00+00:00,1004.1592839362291
2017-02-12 00:00:00+00:00,1000.2272693717377
2017-02-13 00:00:00+00:00,997.1113602514179
2017-02-14 00:00:00+00:00,1004.3102946673282
2017-02-15 00:00:00+00:00,1007.6359164427377
2017-02-16 00:00:00+00:00,1024.9458423435817
2017-02-17 00:00:00+00:00,1045.3798768873737
2017-02-18 00:00:00+00:00,1059.2445183850605
2017-02-19 00:00:00+00:00,1052.0075029330917
2017-02-20 00:00:00+00:00,1054.9879540537654
2017-02-21 00:00:00+00:00,1099.4857553172797
2017-02-22 00:00:00+00:00,1117.6268053609554
