date,pred,return,remain,cumprod,actual_binary,pred_binary
2019-09-14 00:00:00+00:00,0.00046181108,0.0030970556574592,1.0030970556574592,1.0030970556574592,1,1
2019-09-15 00:00:00+00:00,0.00044818007,-0.0016259060884318,0.9983740939115682,1.0014661140473777,-1,1
2019-09-16 00:00:00+00:00,0.00041145342,-0.0062544369360343,0.9937455630639657,0.995202507393493,-1,1
2019-09-17 00:00:00+00:00,0.00040011085,-0.0044052871951405,0.9955947128048594,0.9908183545311007,-1,1
2019-09-18 00:00:00+00:00,0.00041822728,-0.0021246681671944,0.9978753318328056,0.9887131943137566,-1,1
2019-09-19 00:00:00+00:00,0.0003553314,-0.0200283977420005,0.9799716022579995,0.9689108532052768,-1,1
2019-09-20 00:00:00+00:00,0.00041165098,0.0182937892020675,1.0182937892020676,0.9866359041094096,1,1
2019-09-21 00:00:00+00:00,0.00038646092,-0.0114844999962339,0.9885155000037661,0.9753048840723808,-1,1
2019-09-22 00:00:00+00:00,0.0003994162,-0.0046164033916855,0.9953835966083145,0.9708024832976216,-1,1
2019-09-23 00:00:00+00:00,0.00032055023,-0.0117907467715405,0.9882092532284595,0.9593559970518768,-1,1
2019-09-24 00:00:00+00:00,0.00016536236,-0.0472099711179926,0.9527900288820074,0.9140648281391847,-1,1
2019-09-25 00:00:00+00:00,-0.00021804417,-0.1097744876501067,0.8902255123498933,0.8137238299512228,-1,-1
2019-09-26 00:00:00+00:00,-0.00031627197,-0.0228004166776384,0.9771995833223616,0.7951705875678111,-1,-1
2019-09-27 00:00:00+00:00,-0.00040930853,-0.0262846579012894,0.9737153420987106,0.774269800700424,-1,-1
2019-09-28 00:00:00+00:00,-0.0003827784,0.0145983249731191,1.0145983249731192,0.785572842867921,1,-1
2019-09-29 00:00:00+00:00,-0.0007510031,-0.0074923807572196,0.9925076192427804,0.779687032016623,-1,-1
2019-09-30 00:00:00+00:00,-0.00102913,-0.0015243367775627,0.9984756632224373,0.7784985263987314,-1,-1
2019-10-01 00:00:00+00:00,-0.0009060767,0.0335821085441085,1.0335821085441086,0.8046421484136822,1,-1
2019-10-02 00:00:00+00:00,-0.0009449264,-0.010834198019318,0.989165801980682,0.7959244960430789,-1,-1
2019-10-03 00:00:00+00:00,-0.0009888887,-0.0006180419666469,0.9993819580333531,0.7954325813022419,-1,-1
2019-10-04 00:00:00+00:00,-0.0010910145,-0.012523826342078,0.987476173657922,0.7854707217871818,-1,-1
2019-10-05 00:00:00+00:00,-0.0011663786,-0.0037232366757178,0.9962767633242822,0.7825462283881212,-1,-1
2019-10-06 00:00:00+00:00,-0.0012028536,-0.0134421844537034,0.9865578155462966,0.7720270976425782,-1,-1
2019-10-07 00:00:00+00:00,-0.0012175315,0.0041724761158611,1.004172476115861,0.7752483622682893,1,-1
2019-10-08 00:00:00+00:00,-0.0010786215,0.0179879064430011,1.017987906443001,0.7891934572788611,1,-1
2019-10-09 00:00:00+00:00,-0.0009727075,0.0142434266471327,1.0142434266471327,0.8004342763980097,1,-1
2019-10-10 00:00:00+00:00,-0.0009067369,0.0249482910329162,1.0249482910329162,0.8204037436783089,1,-1
2019-10-11 00:00:00+00:00,-0.0009700704,-0.0173786425463226,0.9826213574536774,0.8061462402732588,-1,-1
2019-10-12 00:00:00+00:00,-0.0010143815,-0.0060394802692765,0.9939605197307235,0.801277535960977,-1,-1
