,date,btc_7d_test,btc_7d_pred,btc_30d_test,btc_30d_pred,btc_180d_test,btc_180d_pred,btc_365d_test,btc_365d_pred
0,2019-09-14 00:00:00+00:00,0.0030970556574592,0.0030970556574592,0.0030970556574592,0.0030970556574592,0.0030970556574592,0.0030970556574592,0.0030970556574592,0.0030970556574592
1,2019-09-15 00:00:00+00:00,0.0014711495690274,0.0014711495690274,0.0014711495690274,0.0014711495690274,0.0014711495690274,0.0014711495690274,0.0014711495690274,0.0014711495690274
2,2019-09-16 00:00:00+00:00,-0.0047832873670068995,-0.0047832873670068995,-0.0047832873670068995,-0.0047832873670068995,-0.0047832873670068995,-0.0047832873670068995,-0.0047832873670068995,-0.0047832873670068995
3,2019-09-17 00:00:00+00:00,-0.0091885745621474,-0.00037800017186639945,-0.0091885745621474,-0.00037800017186639945,-0.0091885745621474,-0.0091885745621474,-0.0091885745621474,-0.0091885745621474
4,2019-09-18 00:00:00+00:00,-0.0113132427293418,0.0017466679953280005,-0.0113132427293418,0.0017466679953280005,-0.0113132427293418,-0.0113132427293418,-0.0113132427293418,-0.0113132427293418
5,2019-09-19 00:00:00+00:00,-0.0313416404713423,0.0217750657373285,-0.0313416404713423,0.0217750657373285,-0.0313416404713423,-0.0313416404713423,-0.0313416404713423,-0.0313416404713423
6,2019-09-20 00:00:00+00:00,-0.013047851269274803,0.0034812765352610006,-0.013047851269274803,0.0034812765352610006,-0.013047851269274803,-0.013047851269274803,-0.013047851269274803,-0.013047851269274803
7,2019-09-21 00:00:00+00:00,-0.024532351265508703,-0.008003223460972899,-0.024532351265508703,-0.008003223460972899,-0.024532351265508703,-0.024532351265508703,-0.024532351265508703,-0.024532351265508703
8,2019-09-22 00:00:00+00:00,-0.0291487546571942,-0.003386820069287399,-0.0291487546571942,-0.003386820069287399,-0.0291487546571942,-0.0291487546571942,-0.0291487546571942,-0.0291487546571942
9,2019-09-23 00:00:00+00:00,-0.040939501428734704,0.0084039267022531,-0.040939501428734704,0.0084039267022531,-0.040939501428734704,-0.040939501428734704,-0.040939501428734704,-0.040939501428734704
